German,English
der,the
die,the
und,and
in,in
zu,to
den,the
von,of
mit,with
sich,oneself
des,of the
auf,on
für,for
ist,is
im,in the
dem,the
nicht,not
ein,a
die,the
eine,a
als,as
auch,also
es,it
an,at
werden,tobecome
aus,from
er,he
hat,has
dass,that
sie,she
nach,after
wird,will
bei,at
einer,one
um,around
am,at the
sind,are
noch,still
wie,how
einem,one/a
über,about
einen,one/a
so,so/thus
oder,or
aber,but
vor,before
zur,to the
durch,through
man,people
sein,his/
wenn,when
schon,already
mehr,more
bei,at
uns,us
mein,my
habe,have
diese,this
ihn,him
du,you
nur,only
ja,yes
nach,after
unter,under
wieder,again
mich,me
ihre,their
gegen,against
hier,here
alle,all
ihm,him
noch,still
so,so
dann,then
bis,until
kann,can
schon,already
durch,through
müssen,must
ohne,without
sehr,very
habe,have
vor,before
mehr,more
viel,much
wissen,know
nein,no
wollen,want
diese,this
gegen,against
mich,me
man,one
dies,these
hatte,had
ihre,their
uns,us
über,over
ihn,him
hier,here
alle,all
können,can
machen,make
sehen,see
lassen,leave
stehen,stand
finden,find
bleiben,stay
liegen,lie
denken,think
nehmen,take
dürfen,may
ganz,whole
heute,today
gehen,go
wieder,again
meine,my
seit,since
mal,once
sagen,say
und,aswell
viel,much
geben,give
kommen,come
allein,alone
tun,do
unter,under
dabei,thereby
stehen,stand
viel,very
selbst,self
neue,new
wollen,want
mehr,more
ihr,her
werden,become
war,was
habe,have
nur,only
sein,be
sich,self
wie,like
über,over
mit,with
haben,have
man,one
noch,still
du,you
sein,his
dass,that
bei,at
ihm,him
aus,from
durch,through
als,as
wenn,if
ja,yes
schon,already
mehr,more
können,can
uns,us
dies,this
werden,be
gegen,against
machen,make
sehen,see
lassen,leave
stehen,stand
finden,find
bleiben,stay
liegen,lie
denken,think
nehmen,take
dürfen,may
ganz,whole
heute,today
gehen,go
wieder,again
meine,my
seit,since
mal,once
sagen,say
viel,much
geben,give
kommen,come
allein,alone
tun,do
unter,under
dabei,there
selbst,self
neue,new
wollen,want
ander,other
mein,my
dabei,there
immer,always
viel,much
ohne,without
nach,after
mehr,more
alles,all
ihrer,her
ihre,their
müssen,must
machen,do
zeit,time
seit,since
gut,good
sehen,look
gut,well
wollen,want
sehen,see
leben,live
gut,good
kommen,come
geben,give
ohne,without
wieder,again
sehen,see
bleiben,remain
ander,other
heute,today
sehen,see
machen,make
wissen,know
viel,much
finden,find
kommen,come
sehen,see
gehen,go
wissen,know
leben,live
lassen,leave
nehmen,take
sagen,say
müssen,must
machen,do
finden,find
bleiben,stay
geben,give
sehen,look
stehen,stand
arbeiten,work
finden,find
können,can
sprechen,speak
wollen,want
lieben,love
fragen,ask
sehen,see
denken,think
spielen,play
laufen,run
gehen,walk
hören,hear
brauchen,need
beginnen,start
schreiben,write
bekommen,get
lesen,read
lernen,learn
helfen,help
zeigen,show
tragen,carry
finden,find
sitzen,sit
stehen,stand
vergessen,forget
finden,find
sehen,see
beginnen,start
kommen,come
schlafen,sleep
nehmen,take
stehen,stand
finden,find
laufen,run
bringen,bring
denken,think
sprechen,speak
geben,give
kommen,come
machen,do
sehen,see
nehmen,take
finden,find
lernen,learn
geben,give
gehen,go
sagen,say
sehen,see
kommen,come
bleiben,remain
nehmen,take
bringen,bring
wissen,know
arbeiten,work
sehen,see
bleiben,stay
finden,find
sagen,say
machen,do
geben,give
werden,become
beginnen,start
laufen,run
sehen,see
finden,find
machen,do
geben,give
sprechen,speak
kommen,come
bleiben,stay
nehmen,take
finden,find
lernen,learn
helfen,help
tragen,carry
sehen,look
stehen,stand
schreiben,write
lesen,read
wissen,know
lieben,love
fragen,ask
gehen,go
hören,hear
bringen,bring
denken,think
spielen,play
sehen,see
nehmen,take
bleiben,remain
machen,do
geben,give
kommen,come
finden,find
lernen,learn
stehen,stand
sitzen,sit
sehen,look
beginnen,start
laufen,run
nehmen,take
bringen,bring
denken,think
sprechen,speak
machen,do
sehen,see
geben,give
kommen,come
finden,find
bleiben,stay
tragen,carry
wissen,know
helfen,help
lesen,read
schreiben,write
spielen,play
fragen,ask
lieben,love
sehen,see
gehen,go
hören,hear
machen,do
geben,give
nehmen,take
finden,find
bleiben,remain
beginnen,start
laufen,run
sprechen,speak
sehen,see
finden,find
machen,do
geben,give
kommen,come
bleiben,stay
nehmen,take
lernen,learn
helfen,help
tragen,carry
stehen,stand
schreiben,write
lesen,read
wissen,know
lieben,love
fragen,ask
gehen,go
hören,hear
bringen,bring
denken,think
spielen,play
sehen,look
beginnen,start
laufen,run
nehmen,take
bringen,bring
denken,think
sprechen,speak
machen,do
sehen,see
geben,give
kommen,come
finden,find
bleiben,stay
tragen,carry
wissen,know
helfen,help
lesen,read
schreiben,write
spielen,play
fragen,ask
lieben,love
sehen,see
gehen,go
hören,hear
machen,do
geben,give
nehmen,take
finden,find
bleiben,remain
beginnen,start
laufen,run
sehen,see
sprechen,speak
sehen,see
finden,find
machen,do
geben,give
kommen,come
bleiben,stay
nehmen,take
lernen,learn
helfen,help
tragen,carry
stehen,stand
schreiben,write
lesen,read
wissen,know
lieben,love
fragen,ask
gehen,go
hören,hear
bringen,bring
denken,think
spielen,play
beginnen,start
laufen,run
arbeiten,work
fragen,ask
antworten,answer
brauchen,need
wohnen,live
lernen,study
spielen,play
tanzen,dance
singen,sing
fahren,drive
reiten,ride
fliegen,fly
schwimmen,swim
laufen,walk
kaufen,buy
verkaufen,sell
bezahlen,pay
zahlen,pay
warten,wait
finden,discover
vergessen,forget
erinnern,remember
beginnen,begin
enden,end
öffnen,open
schließen,close
sprechen,talk
erzählen,tell
zeigen,show
fragen,ask
antworten,answer
brauchen,need
wohnen,live
lernen,study
spielen,play
tanzen,dance
singen,sing
fahren,drive
reiten,ride
fliegen,fly
schwimmen,swim
laufen,walk
kaufen,buy
verkaufen,sell
bezahlen,pay
zahlen,pay
warten,wait
finden,discover
vergessen,forget
erinnern,remember
beginnen,begin
enden,end
öffnen,open
schließen,close
sprechen,talk
erzählen,tell
zeigen,show
lesen,read
schreiben,write
denken,think
wissen,know
kennen,know
verstehen,understand
glauben,believe
meinen,mean
hören,hear
sehen,see
fühlen,feel
lieben,love
mögen,like
hassen,hate
brauchen,require
dürfen,may
können,can
müssen,must
sollen,should
wollen,want
wissen,know
sehen,look
sprechen,say
kommen,arrive
gehen,leave
bleiben,stay
nehmen,take
geben,give
bringen,bring
finden,find
halten,hold
tragen,carry
laufen,run
fliegen,fly
schwimmen,swim
fallen,fall
steigen,climb
springen,jump
rennen,race
sitzen,sit
stehen,stand
liegen,lie
stellen,place
setzen,set
legen,lay
öffnen,uncover
schließen,close
beginnen,start
enden,finish
vergessen,forget
erinnern,remember
fragen,inquire
antworten,reply
warten,wait
helfen,help
retten,save
fallen,drop
gewinnen,win
verlieren,lose
lernen,study
unterrichten,teach
erklären,explain
lesen,read
schreiben,write
zeichnen,draw
malen,paint
kochen,cook
essen,eat
trinken,drink
kaufen,buy
verkaufen,sell
bezahlen,pay
zahlen,pay
laufen,walk
rennen,run
springen,jump
fallen,fall
steigen,climb
sitzen,sit
stehen,stand
liegen,lie
stellen,place
setzen,set
legen,lay
öffnen,open
schließen,close
beginnen,start
enden,finish
vergessen,forget
erinnern,remember
fragen,ask
antworten,answer
helfen,help
retten,save
sehen,see
hören,hear
fühlen,feel
riechen,smell
schmecken,taste
berühren,touch
tragen,carry
halten,hold
werfen,throw
fangen,catch
geben,give
nehmen,take
bringen,bring
finden,find
verlieren,lose
gewinnen,win
suchen,search
beginnen,begin
enden,end
arbeiten,work
spielen,play
tanzen,dance
singen,sing
kochen,cook
essen,eat
trinken,drink
kaufen,buy
verkaufen,sell
bezahlen,pay
reisen,travel
fahren,drive
fliegen,fly
reiten,ride
wohnen,live
leben,exist
sterben,die
wachsen,grow
schwimmen,swim
laufen,run
rennen,race
springen,jump
fallen,fall
steigen,climb
sitzen,sit
stehen,stand
liegen,lie
stellen,put
setzen,set
legen,lay
öffnen,uncover
schließen,close
beginnen,start
enden,finish
vergessen,forget
erinnern,remember
fragen,ask
antworten,reply
helfen,help
retten,save
sehen,look
hören,listen
fühlen,feel
riechen,smell
schmecken,taste
berühren,touch
tragen,carry
halten,hold
werfen,throw
fangen,catch
geben,give
nehmen,take
bringen,bring
finden,find
verlieren,lose
gewinnen,win
suchen,seek
lernen,learn
unterrichten,teach
erklären,explain
lesen,read
schreiben,write
zeichnen,draw
malen,paint
kochen,cook
essen,eat
trinken,drink
kaufen,buy
verkaufen,sell
bezahlen,pay
zahlen,pay
öffnen,open
schließen,close
beginnen,start
beenden,finish
beginnen,begin
enden,end
gehen,go
kommen,come
laufen,run
rennen,race
springen,jump
fallen,fall
steigen,climb
sitzen,sit
stehen,stand
liegen,lie
setzen,set
stellen,put
legen,lay
drehen,turn
schieben,push
ziehen,pull
tragen,carry
halten,hold
werfen,throw
fangen,catch
geben,give
nehmen,take
bringen,bring
finden,find
verlieren,lose
gewinnen,win
suchen,seek
lernen,learn
unterrichten,teach
erklären,explain
lesen,read
schreiben,write
zeichnen,draw
malen,paint
kochen,cook
essen,eat
trinken,drink
schlafen,sleep
wachen,wake
träumen,dream
sehen,see
hören,hear
fühlen,feel
riechen,smell
schmecken,taste
berühren,touch
lieben,love
mögen,like
hassen,hate
brauchen,need
wollen,want
dürfen,may
müssen,must
können,can
wissen,know
kennen,know
denken,think
glauben,believe
meinen,mean
sagen,say
sprechen,speak
rufen,call
fragen,ask
antworten,answer
helfen,help
retten,save
arbeiten,work
spielen,play
tanzen,dance
singen,sing
reisen,travel
fahren,drive
fliegen,fly
reiten,ride
wohnen,live
leben,exist
sterben,die
wachsen,grow
schwimmen,swim
atmen,breathe
lachen,laugh
weinen,cry
schenken,give
besuchen,visit
kennen,know
treffen,meet
beginnen,start
beenden,finish
öffnen,open
schließen,close
laufen,run
rennen,race
springen,jump
fallen,fall
steigen,climb
sitzen,sit
stehen,stand
liegen,lie
setzen,set
stellen,put
legen,lay
drehen,turn
schieben,push
ziehen,pull
tragen,carry
halten,hold
werfen,throw
fangen,catch
geben,give
nehmen,take
bringen,bring
finden,find
verlieren,lose
gewinnen,win
suchen,seek
lernen,learn
unterrichten,teach
erklären,explain
lesen,read
schreiben,write
zeichnen,draw
malen,paint
kochen,cook
essen,eat
trinken,drink
schlafen,sleep
wachen,wake
träumen,dream
sehen,see
hören,hear
fühlen,feel
riechen,smell
schmecken,taste
berühren,touch
lieben,love
mögen,like
hassen,hate
brauchen,need
wollen,want
dürfen,may
müssen,must
können,can
wissen,know
kennen,know
denken,think
glauben,believe
meinen,mean
sagen,say
sprechen,speak
rufen,call
fragen,ask
antworten,answer
helfen,help
retten,save
arbeiten,work
spielen,play
tanzen,dance
singen,sing
reisen,travel
fahren,drive
fliegen,fly
reiten,ride
wohnen,live
leben,exist
sterben,die
wachsen,grow
schwimmen,swim
atmen,breathe
lachen,laugh
weinen,cry
schenken,give
besuchen,visit
kennen,know
treffen,meet
öffnen,open
schließen,close
beginnen,start
beenden,finish
laufen,run
rennen,race
springen,jump
fallen,fall
steigen,climb
sitzen,sit
stehen,stand
liegen,lie
setzen,set
stellen,put
legen,lay
drehen,turn
schieben,push
ziehen,pull
tragen,carry
halten,hold
werfen,throw
fangen,catch
geben,give
nehmen,take
bringen,bring
finden,find
verlieren,lose
gewinnen,win
suchen,seek
lernen,learn
unterrichten,teach
erklären,explain
lesen,read
schreiben,write
zeichnen,draw
malen,paint
kochen,cook
essen,eat
trinken,drink
schlafen,sleep
wachen,wake
träumen,dream
sehen,see
hören,hear
fühlen,feel
riechen,smell
schmecken,taste
berühren,touch
lieben,love
mögen,like
hassen,hate
brauchen,need
wollen,want
dürfen,may
müssen,must
können,can
wissen,know
kennen,know
denken,think
glauben,believe
meinen,mean
sagen,say
sprechen,speak
rufen,call
fragen,ask
antworten,answer
helfen,help
retten,save
arbeiten,work
spielen,play
tanzen,dance
singen,sing
reisen,travel
fahren,drive
fliegen,fly
reiten,ride
wohnen,live
leben,exist
sterben,die
wachsen,grow
schwimmen,swim
atmen,breathe
lachen,laugh
weinen,cry
schenken,give
besuchen,visit
treffen,meet
öffnen,open
schließen,close
beginnen,start
beenden,finish
laufen,run
rennen,race
springen,jump
fallen,fall
steigen,climb
sitzen,sit
stehen,stand
liegen,lie
setzen,set
stellen,put
legen,lay
drehen,turn
schieben,push
ziehen,pull
tragen,carry
halten,hold
werfen,throw
fangen,catch
geben,give
nehmen,take
bringen,bring
finden,find
verlieren,lose
gewinnen,win
suchen,seek
lernen,learn
unterrichten,teach
erklären,explain
lesen,read
schreiben,write
zeichnen,draw
malen,paint
kochen,cook
essen,eat
trinken,drink
schlafen,sleep
wachen,wake
träumen,dream
sehen,see
hören,hear
fühlen,feel
riechen,smell